aX,aY,aZ,gX,gY,gZ
-0.00570000,-0.00610000,0.10050000,-0.00070000,-0.00273000,0.00028000
-0.00630000,-0.00560000,0.10030000,-0.00035000,-0.00371000,0.00077000
-0.00630000,-0.00560000,0.10030000,-0.00035000,-0.00371000,0.00077000
-0.00600000,-0.00590000,0.09980000,-0.00035000,-0.00385000,0.00091000
-0.00600000,-0.00590000,0.09980000,-0.00035000,-0.00385000,0.00091000
-0.00650000,-0.00560000,0.10040000,-0.00126000,-0.00322000,0.00105000
-0.00650000,-0.00560000,0.10040000,-0.00126000,-0.00322000,0.00105000
-0.00670000,-0.00570000,0.10000000,-0.00140000,-0.00308000,0.00105000
-0.00650000,-0.00610000,0.10050000,-0.00014000,-0.00308000,0.00091000
-0.00670000,-0.00580000,0.10130000,0.00077000,-0.00294000,0.00084000
-0.00710000,-0.00540000,0.10130000,0.00091000,-0.00322000,0.00091000
-0.00700000,-0.00500000,0.10150000,0.00056000,-0.00357000,0.00084000
-0.00660000,-0.00540000,0.10170000,-0.00063000,-0.00385000,0.00084000
-0.00660000,-0.00540000,0.10170000,-0.00063000,-0.00378000,0.00063000
-0.00570000,-0.00610000,0.10140000,-0.00189000,-0.00378000,0.00063000
-0.00550000,-0.00610000,0.10110000,-0.00175000,-0.00336000,0.00056000
-0.00590000,-0.00620000,0.10090000,-0.00014000,-0.00301000,0.00077000
-0.00670000,-0.00560000,0.10100000,0.00119000,-0.00273000,0.00084000
-0.00640000,-0.00510000,0.10050000,0.00175000,-0.00231000,0.00084000
-0.00640000,-0.00510000,0.10050000,0.00203000,-0.00182000,0.00112000
-0.00600000,-0.00520000,0.10080000,0.00203000,-0.00182000,0.00112000
-0.00630000,-0.00600000,0.09870000,0.00266000,-0.00119000,0.00175000
-0.00610000,-0.00580000,0.10030000,0.00476000,-0.00098000,0.00196000
-0.00320000,-0.00740000,0.10570000,0.00616000,-0.00133000,0.00189000
-0.00320000,-0.00740000,0.10570000,0.00616000,-0.00133000,0.00189000
0.00070000,-0.01070000,0.09460000,0.00434000,-0.00224000,0.00301000
0.00280000,-0.00470000,0.06690000,0.01190000,0.00154000,0.00525000
-0.00040000,0.00760000,0.09660000,0.03598000,0.01372000,0.00574000
-0.01410000,-0.00970000,0.15770000,0.03213000,0.03647000,0.01029000
-0.04650000,0.00170000,0.13100000,-0.03836000,0.05761000,0.01428000
-0.04650000,0.00170000,0.13100000,-0.05733000,0.02625000,0.00728000
-0.01190000,0.01160000,0.01530000,-0.05733000,0.02625000,0.00728000
-0.00370000,-0.01440000,0.12810000,0.00889000,-0.03178000,0.00546000
-0.00620000,-0.01580000,0.07320000,0.00287000,-0.00770000,-0.00126000
-0.01550000,-0.00430000,0.09820000,0.00651000,-0.01309000,-0.00168000
-0.01670000,-0.00200000,0.10910000,0.01708000,-0.00490000,0.00084000
-0.01410000,-0.00520000,0.10960000,0.00735000,-0.02114000,-0.00392000
-0.01410000,-0.00520000,0.10960000,0.00735000,-0.02114000,-0.00392000
-0.00940000,-0.00760000,0.11170000,-0.00091000,-0.02415000,-0.00784000
-0.00470000,-0.00580000,0.10170000,-0.00658000,-0.02177000,-0.00833000
-0.00530000,0.00000000,0.09780000,-0.00196000,-0.01680000,-0.00413000
-0.00580000,-0.00450000,0.09840000,0.00119000,-0.01372000,-0.00070000
-0.00120000,-0.00890000,0.09420000,-0.00686000,-0.00917000,-0.00070000
-0.00120000,-0.00890000,0.09420000,-0.00686000,-0.00917000,-0.00070000
-0.00040000,-0.00710000,0.09840000,-0.01120000,-0.00147000,-0.00063000
-0.00780000,-0.00730000,0.10160000,-0.01246000,0.00245000,-0.00056000
-0.01000000,-0.00980000,0.09850000,-0.01204000,-0.00056000,-0.00014000
-0.00360000,-0.01030000,0.09650000,-0.00588000,-0.00196000,-0.00084000
-0.00350000,-0.00870000,0.10140000,0.00406000,-0.00175000,0.00133000
-0.00350000,-0.00870000,0.10140000,0.00406000,-0.00175000,0.00133000
-0.00930000,-0.00400000,0.10580000,0.01050000,-0.00091000,0.00245000
-0.00960000,-0.00060000,0.10440000,0.00980000,-0.00469000,0.00112000
-0.00690000,-0.00130000,0.10200000,0.00665000,-0.00798000,0.00119000
-0.00590000,-0.00320000,0.10010000,0.00168000,-0.00721000,0.00140000
-0.00780000,-0.00520000,0.10150000,-0.00224000,-0.00378000,0.00224000
-0.00780000,-0.00520000,0.10150000,-0.00343000,-0.00168000,0.00210000
-0.00940000,-0.00650000,0.10290000,-0.00343000,-0.00168000,0.00210000
-0.00930000,-0.00610000,0.10230000,-0.00203000,-0.00238000,0.00105000
-0.00820000,-0.00450000,0.10010000,0.00063000,-0.00427000,0.00035000
-0.00720000,-0.00400000,0.10090000,0.00280000,-0.00581000,0.00007000
-0.00570000,-0.00530000,0.10090000,0.00056000,-0.00399000,0.00112000
-0.00700000,-0.00610000,0.10030000,0.00105000,-0.00350000,0.00133000
