aX,aY,aZ,gX,gY,gZ
-0.00010000,0.00280000,0.10110000,-0.00042000,-0.00392000,0.00049000
0.00080000,0.00160000,0.10050000,0.00105000,-0.00392000,0.00091000
0.00080000,0.00160000,0.10050000,0.00105000,-0.00392000,0.00091000
0.00050000,0.00310000,0.10060000,0.00455000,-0.00119000,0.00140000
0.00050000,0.00310000,0.10060000,0.00455000,-0.00119000,0.00140000
0.00010000,0.00350000,0.10070000,0.00308000,-0.00210000,0.00126000
0.00100000,0.00290000,0.10190000,0.00035000,-0.00385000,0.00070000
0.00100000,0.00290000,0.10190000,0.00035000,-0.00385000,0.00070000
0.00080000,0.00260000,0.10080000,-0.00105000,-0.00392000,0.00084000
0.00000000,0.00270000,0.10070000,-0.00049000,-0.00364000,0.00147000
0.00020000,0.00350000,0.10040000,0.00077000,-0.00329000,0.00189000
0.00100000,0.00330000,0.10120000,0.00133000,-0.00238000,0.00175000
-0.00010000,0.00350000,0.10100000,0.00021000,-0.00259000,0.00217000
-0.00010000,0.00350000,0.10100000,0.00021000,-0.00385000,0.00210000
-0.00060000,0.00360000,0.10180000,-0.00063000,-0.00385000,0.00210000
0.00110000,0.00250000,0.09930000,-0.00077000,-0.00420000,0.00112000
0.00270000,0.00270000,0.09990000,0.00217000,-0.00224000,0.00126000
0.00120000,0.00360000,0.10130000,0.00301000,-0.00049000,0.00217000
0.00000000,0.00340000,0.10240000,0.00161000,-0.00126000,0.00126000
0.00090000,0.00210000,0.10020000,0.00063000,-0.00091000,-0.00021000
0.00090000,0.00210000,0.10020000,0.00063000,-0.00091000,-0.00021000
0.00080000,0.00300000,0.09910000,0.00203000,0.00007000,0.00021000
0.00000000,0.00380000,0.10210000,0.00504000,0.00231000,0.00077000
0.00000000,0.00370000,0.10000000,0.00574000,0.00385000,0.00077000
0.00000000,0.00470000,0.10470000,0.00413000,0.00126000,0.00161000
0.00110000,0.00570000,0.10250000,-0.00112000,0.00014000,0.00182000
0.00110000,0.00570000,0.10250000,-0.00112000,0.00014000,0.00182000
0.00340000,0.01120000,0.09200000,-0.00266000,0.00497000,0.00021000
-0.01620000,-0.02020000,0.13420000,0.01295000,-0.00189000,-0.01519000
-0.01620000,-0.02020000,0.13420000,0.01295000,-0.00189000,-0.01519000
-0.00410000,-0.00710000,0.10080000,0.00133000,-0.01365000,-0.01519000
0.01410000,0.01000000,0.07250000,0.02968000,0.01386000,0.00056000
0.00700000,0.01460000,0.11840000,0.04494000,0.02331000,0.00371000
-0.01600000,0.01270000,0.11430000,-0.00084000,0.01015000,0.00931000
-0.01180000,0.00910000,0.09050000,-0.04347000,-0.02478000,0.01190000
-0.01180000,0.00910000,0.09050000,-0.05439000,-0.03822000,0.01064000
0.00570000,0.00890000,0.09910000,-0.05439000,-0.03822000,0.01064000
0.00230000,0.00450000,0.09780000,-0.05138000,-0.02331000,0.00840000
-0.00980000,-0.00770000,0.11080000,-0.03248000,-0.01148000,0.00126000
-0.00590000,-0.00850000,0.10350000,-0.01729000,-0.00994000,-0.00161000
0.00890000,0.00270000,0.08550000,-0.00770000,-0.01071000,0.00140000
0.00890000,0.00270000,0.10960000,-0.00084000,-0.00756000,0.00420000
0.00600000,0.00100000,0.10960000,-0.00084000,-0.00756000,0.00420000
-0.00190000,0.00090000,0.09650000,-0.00546000,-0.00350000,0.00378000
0.00150000,0.00160000,0.10660000,-0.00483000,-0.00749000,0.00063000
0.00430000,-0.00510000,0.10420000,-0.01008000,-0.01141000,-0.00343000
